id;question;answer
0;capital of germany?;berlin
1;capital of france?;paris
2;capital of england?;london
3;capital of switzerland?;bern
4;capital of austria?;wien
5;capital of netherlands?;amsterdam
6;capital of belgium?;brussel
7;capital of luxembourg?;luxembourg
8;capital of denmark?;kopenhagen
9;the river elbe flows in...?;hamburg
10;the river donau flows in...?;dillingen
11;the river spree flows in...?;berlin
12;the eiffelturm is in...?;paris
13;the brandenburger tor is in...?;berlin
14;the tower bridge is in...?;london
15;the reeperbahn is in...?;hamburg
16;the city of love is...?;paris
17;what's the name of the following equation? <img src="img/pytagoras.png">;pytagoras
18;kinetic energy equation?;<img src="img/kinetic-energy.png">
